scenario,weight_model,base_rate,pity_threshold,carryover,token_threshold,any_target_acquisition_rate,copy_goal_completion_rate,avg_completed_goal_banners,avg_target_obtained_banners,avg_total_copies,avg_total_pulls,pity_activation_rate,token_redemption_rate,avg_wasted_progress,avg_frustration_score,mean_churn_propensity,weighted_churn_propensity,observed_churn_rate,avg_dupe_utility,avg_dupe_gain,sensitivity_type,copy_goal_model,banners
sensitivity_rate_0.008_pity_250,equal_weight,0.008,250,False,0,0.719,0.5125,1.094,2.1035,4.008,483.284,0.133,0.0,0.29705368571428575,0.46593847504242747,0.4547994434267145,0.4547994434267145,0.9515,0.46763165963307113,0.46763165963307113,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.008_pity_250,f2p_heavy,0.008,250,False,0,0.719,0.5125,1.094,2.1035,4.008,483.284,0.133,0.0,0.29705368571428575,0.46593847504242747,0.4547994434267145,0.5881274268025817,0.9515,0.46763165963307113,0.46763165963307113,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.008_pity_250,spender_focused,0.008,250,False,0,0.719,0.5125,1.094,2.1035,4.008,483.284,0.133,0.0,0.29705368571428575,0.46593847504242747,0.4547994434267145,0.4402025600948433,0.9515,0.46763165963307113,0.46763165963307113,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.008_pity_330,equal_weight,0.008,330,False,0,0.699,0.4925,1.0755,1.979,3.5735,451.5705,0.0285,0.0,0.25150734307359307,0.46453115855783367,0.4660117431239555,0.46601174312395555,0.964,0.4448371387341184,0.4448371387341184,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.008_pity_330,f2p_heavy,0.008,330,False,0,0.699,0.4925,1.0755,1.979,3.5735,451.5705,0.0285,0.0,0.25150734307359307,0.46453115855783367,0.4660117431239555,0.5836969686017772,0.964,0.4448371387341184,0.4448371387341184,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.008_pity_330,spender_focused,0.008,330,False,0,0.699,0.4925,1.0755,1.979,3.5735,451.5705,0.0285,0.0,0.25150734307359307,0.46453115855783367,0.4660117431239555,0.44891065608804964,0.964,0.4448371387341184,0.4448371387341184,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.01_pity_250,equal_weight,0.01,250,False,0,0.776,0.6225,1.63,2.634,5.3515,525.495,0.114,0.0,0.2497454880952381,0.41692294772771377,0.39561846161071706,0.39561846161071706,0.902,0.5421531016444371,0.5421531016444371,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.01_pity_250,f2p_heavy,0.01,250,False,0,0.776,0.6225,1.63,2.634,5.3515,525.495,0.114,0.0,0.2497454880952381,0.41692294772771377,0.39561846161071706,0.5322792102169229,0.902,0.5421531016444371,0.5421531016444371,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.01_pity_250,spender_focused,0.01,250,False,0,0.776,0.6225,1.63,2.634,5.3515,525.495,0.114,0.0,0.2497454880952381,0.41692294772771377,0.39561846161071706,0.3667403521223135,0.902,0.5421531016444371,0.5421531016444371,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.01_pity_330,equal_weight,0.01,330,False,0,0.7825,0.624,1.6165,2.5805,5.0545,511.1155,0.0225,0.0,0.2061196699134199,0.41164951014877044,0.3938885025915791,0.3938885025915791,0.912,0.5355548931747681,0.5355548931747681,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.01_pity_330,f2p_heavy,0.01,330,False,0,0.7825,0.624,1.6165,2.5805,5.0545,511.1155,0.0225,0.0,0.2061196699134199,0.41164951014877044,0.3938885025915791,0.5163129922444142,0.912,0.5355548931747681,0.5355548931747681,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.01_pity_330,spender_focused,0.01,330,False,0,0.7825,0.624,1.6165,2.5805,5.0545,511.1155,0.0225,0.0,0.2061196699134199,0.41164951014877044,0.3938885025915791,0.3687728919510579,0.912,0.5355548931747681,0.5355548931747681,rate_and_pity,np_aware_mixed,8
sensitivity_rate_0.012_pity_250,equal_weight,0.012,250,False,0,0.8105,0.7075,2.188,3.1785,6.8885,574.5755,0.0915,0.0,0.2109812238095238,0.3730390041679947,0.34701059986575183,0.3470105998657519,0.8605,0.6025601945015813,0.6025601945015813,rate_and_pity,np_aware_mixed,8
