scenario,segment,any_target_acquisition_rate,copy_goal_completion_rate,avg_total_pulls,avg_wasted_progress,avg_frustration_score,mean_churn_propensity,observed_churn_rate,avg_dupe_utility
A_baseline_hard_pity,free_to_play,0.4186666666666667,0.4186666666666667,92.908,0.13784518999519,0.487070382040546,0.6303708276935233,0.9986666666666667,0.23072063492063494
A_baseline_hard_pity,high_spender,0.9573333333333334,0.2986666666666667,1037.8106666666667,0.3280042857142857,0.5210600673229899,0.3205738700664132,0.936,0.6158190808703835
A_baseline_hard_pity,low_spender,0.6266666666666667,0.6266666666666667,214.38933333333333,0.20385678691678694,0.4056972350357596,0.49456915518160915,0.9626666666666667,0.4154333333333333
A_baseline_hard_pity,medium_spender,0.8293333333333334,0.6426666666666667,540.4173333333333,0.28942199134199137,0.42249687901449073,0.3754808539192485,0.9133333333333333,0.5638769969676288
B_lower_hard_pity,free_to_play,0.388,0.388,87.02266666666667,0.18680913015873016,0.5010725138693729,0.6474843461680947,0.9986666666666667,0.21865555555555558
B_lower_hard_pity,high_spender,1.0,0.344,1168.128,0.3374596952380952,0.5137146763026361,0.27016204233918995,0.884,0.6795834846013571
B_lower_hard_pity,low_spender,0.6653333333333333,0.6653333333333333,220.40266666666668,0.2640405968253968,0.40687862201405156,0.4927900323331231,0.964,0.4288190476190476
B_lower_hard_pity,medium_spender,0.8133333333333334,0.6253333333333333,516.3453333333333,0.3835304698412698,0.4421070243727113,0.4015071219124559,0.9186666666666666,0.5504456383345163
C_improved_base_rate,free_to_play,0.564,0.564,101.58533333333334,0.1151664983164983,0.42714418911992685,0.5389151945506333,0.9866666666666667,0.3455634920634921
C_improved_base_rate,high_spender,0.988,0.7013333333333334,1303.7133333333334,0.21871861952861954,0.403895153258659,0.21038176298732142,0.8106666666666666,0.7762267398263119
C_improved_base_rate,low_spender,0.8026666666666666,0.8026666666666666,250.588,0.14534023088023088,0.30966035594035596,0.35520092598378006,0.8586666666666667,0.5865825396825397
C_improved_base_rate,medium_spender,0.9146666666666666,0.8026666666666666,619.1106666666667,0.1923604617604618,0.3127890973111029,0.2518245037011747,0.76,0.7122251428626607
D_carryover_pity,free_to_play,0.4493333333333333,0.4493333333333333,99.36533333333334,0.0,0.4600817148849936,0.580204007498267,0.9933333333333333,0.23977777777777778
D_carryover_pity,high_spender,0.968,0.44533333333333336,1459.8386666666668,0.0,0.45337350306277124,0.19038023520410235,0.768,0.6479214961831234
D_carryover_pity,low_spender,0.672,0.672,248.44133333333335,0.0,0.3618073701890095,0.4154496496845477,0.9386666666666666,0.4357190476190476
D_carryover_pity,medium_spender,0.8426666666666667,0.7013333333333334,634.2346666666666,0.0,0.3648965927015753,0.2759954001650908,0.84,0.5764370680444084
E_token_spark_250,free_to_play,0.4613333333333333,0.4613333333333333,97.87866666666666,0.1333157239057239,0.4757332120581301,0.5868805431946478,0.9893333333333333,0.25232539682539684
E_token_spark_250,high_spender,0.9973333333333333,0.7333333333333333,1655.744,0.1741875084175084,0.40794583899593423,0.11032560399721894,0.6013333333333334,0.7935843591670472
E_token_spark_250,low_spender,0.6973333333333334,0.6973333333333334,258.64,0.17931925444925445,0.3609475578580497,0.39650267803085004,0.8493333333333334,0.49604603174603173
E_token_spark_250,medium_spender,0.8333333333333334,0.748,681.5586666666667,0.22063371332371332,0.34830174360609356,0.24617039909913016,0.6626666666666666,0.6565461117855181
